AGE (yrs),AGE_2 (yrs),d18O
108000,108125,-56.62
108250,108375,-56.74
108500,108625,-56.82
108750,108875,-56.37
109000,109125,-56.47
109250,109375,-57.12
109500,109625,-57.03
109750,109875,-57.37
110000,110125,-57.36
110250,110375,-58.02
110500,110625,-57.7
110750,110875,-57.7
111000,111125,-58.7
111250,111375,-58.72
111500,111625,-58.8
111750,111875,-58.91
112000,112125,-58.6
112250,112375,-58.94
112500,112625,-58.9
112750,112875,-58.59
113000,113125,-58.09
113250,113375,-58.5
113500,113625,-58.54
113750,113875,-58.18
114000,114125,-58.45
114250,114375,-58.44
114500,114625,-58.52
114750,114875,-58.3
115000,115125,-58.49
115250,115375,-58.36
115500,115625,-58.14
115750,115875,-58.29
116000,116125,-58.24
116250,116375,-58.39
116500,116625,-58.29
116750,116875,-58.13
117000,117125,-58.11
117250,117375,-58.19
117500,117625,-57.46
117750,117875,-57.59
118000,118125,-57.92
118250,118375,-57.62
118500,118625,-57.2
118750,118875,-56.99
119000,119125,-56.86
119250,119375,-56.96
119500,119625,-56.82
119750,119875,-56.99
120000,120125,-56.34
120250,120375,-56.41
120500,120625,-56.22
120750,120875,-56.02
121000,121125,-55.83
121250,121375,-55.78
121500,121625,-55.99
121750,121875,-55.5
122000,122125,-54.83
122250,122375,-55.52
122500,122625,-55.29
122750,122875,-55.11
123000,123125,-54.73
123250,123375,-54.77
123500,123625,-54.64
123750,123875,-54.51
124000,124125,-54.12
124250,124375,-54.23
124500,124625,-53.98
124750,124875,-53.6
125000,125125,-53.95
125250,125375,-53.55
125500,125625,-53.86
125750,125875,-53.47
126000,126125,-53.68
126250,126375,-53.63
126500,126625,-53.44
126750,126875,-53.6
127000,127125,-53.22
127250,127375,-53.35
127500,127625,-53.28
127750,127875,-52.98
128000,128125,-53.28
128250,128375,-53.02
128500,128625,-53.25
128750,128875,-53.05
129000,129125,-53.27
129250,129375,-53.03
129500,129625,-52.33
129750,129875,-52.2
130000,130125,-51.53
130250,130375,-51.33
130500,130625,-51.23
130750,130875,-51.28
131000,131125,-51.27
131250,131375,-51.14
131500,131625,-51.32
131750,131875,-51.26
132000,132125,-51.52
132250,132375,-51.93
132500,132625,-52.61
132750,132875,-52.85
133000,133125,-53.32
133250,133375,-53.76
133500,133625,-54.72
133750,133875,-54.61
134000,134125,-55.2
134250,134375,-55.15
134500,134625,-55.7
134750,134875,-55.94
135000,135125,-56.19
135250,135375,-56.23
135500,135625,-57.06
135750,135875,-57.41
136000,136125,-57.78
136250,136375,-57.66
136500,136625,-58.24
136750,136875,-58.66
137000,137125,-58.44
137250,137375,-58.33
137500,137625,-58.69
137750,137875,-58.32
138000,138125,-58.71
138250,138375,-58.82
138500,138625,-58.93
138750,138875,-58.75
139000,139125,-58.61
139250,139375,-59.13
139500,139625,-58.98
139750,139875,-58.96
140000,140125,-59.41
140250,140375,-59.66
140500,140625,-59.21
140750,140875,-59.19
141000,141125,-59.37
141250,141375,-59.06
141500,141625,-59.29
141750,141875,-59.22
142000,142125,-58.85
142250,142375,-59.32
142500,142625,-58.84
142750,142875,-58.75
143000,143125,-59.21
143250,143375,-58.94
143500,143625,-58.52
143750,143875,-59.54
144000,144125,-58.23
144250,144375,-58.92
144500,144625,-58.76
144750,144875,-58.69
145000,145125,-58.85
145250,145375,-59.21
145500,145625,-58.53
145750,145875,-58.54
146000,146125,-58.51
146250,146375,-58.84
146500,146625,-58.77
146750,146875,-59.19
147000,147125,-58.76
147250,147375,-58.55
147500,147625,-58.5
147750,147875,-58.58
148000,148125,-58.37
148250,148375,-58.26
148500,148625,-58.71
148750,148875,-58.19
149000,149125,-58.28
149250,149375,-57.89
149500,149625,-58.21
149750,149875,-58.18
150000,150125,-58.09
150250,150375,-57.96
150500,150625,-58.53
150750,150875,-58.2
151000,151125,-58.38
151250,151375,-58.33
151500,151625,-58.58
151750,151875,-58.57
152000,152125,-58.58
152250,152375,-58.5
152500,152625,-58.54
152750,152875,-58.9
153000,153125,-58.82
153250,153375,-59.22
153500,153625,-58.89
153750,153875,-58.75
154000,154125,-59.34
154250,154375,-59.17
154500,154625,-59.51
154750,154875,-59.45
155000,155125,-59.53
155250,155375,-59.44
155500,155625,-59.38
155750,155875,-59.59
156000,156125,-59.84
156250,156375,-59.43
156500,156625,-59.27
156750,156875,-59.22
157000,157125,-59.41
157250,157375,-59.38
157500,157625,-59.31
157750,157875,-58.85
158000,158125,-59.61
158250,158375,-59.19
158500,158625,-59.83
158750,158875,-59.42
159000,159125,-58.91
159250,159375,-58.27
159500,159625,-57.99
