Age [ka BP],d18O recon [per mil] (d18O values corrected for sea...)
4.5965,-43.9
4.605,-44.7
4.6135,-43.8
4.6225,-44.04
4.631,-45.01
4.6395,-44.19
4.648,-44.39
4.656,-44.1
4.6645,-44.87
4.673,-44.52
4.6815,-44.42
4.69,-43.49
4.698,-43.7
4.7065,-42.99
4.715,-44.39
4.723,-45.1
4.731,-44.05
4.739,-44.39
4.747,-44.46
4.755,-43.75
4.763,-45.18
4.7715,-44.48
4.78,-42.79
4.7885,-43.01
4.797,-43.91
4.805,-44.43
4.8135,-44.03
4.822,-43.75
4.8305,-43.99
4.8395,-43.78
4.848,-43.63
4.8565,-44.29
4.865,-44.19
4.8735,-43.71
4.882,-44.02
4.89,-43.77
4.898,-42.4
4.906,-41.61
4.9145,-43.41
4.923,-44.99
4.931,-42.98
4.939,-43.72
4.947,-44.6
4.9555,-43.92
4.964,-43.21
4.9725,-43.27
4.981,-44.12
4.9895,-44.43
4.9985,-44.53
5.0075,-44.11
5.016,-45.12
5.0245,-44.18
5.0335,-44.18
5.042,-42.52
5.0505,-44.3
5.0595,-44.63
5.0685,-44.62
5.0775,-43.97
5.0865,-44.03
5.0955,-44.17
5.1045,-45.74
5.113,-44.13
5.1215,-43.15
5.13,-44.58
5.1385,-43.5
5.147,-43.96
5.1555,-44.31
5.164,-44.94
5.1725,-45.97
5.181,-43.79
5.189,-43.14
5.197,-43
5.2055,-43.59
5.214,-43.97
5.2225,-44.17
5.2315,-43.99
5.2405,-43.69
5.2495,-42.65
5.2585,-44.39
5.2675,-43.54
5.2765,-43.77
5.285,-42.8
5.2935,-43.53
5.302,-43.62
5.3105,-43.77
5.3195,-43.72
5.328,-44.39
5.3365,-45.02
5.345,-44.51
5.353,-43.26
5.3615,-45.47
5.3705,-45.23
5.379,-44.55
5.3875,-44.52
5.396,-43.85
5.4045,-44.91
5.4135,-43.28
5.423,-43.85
5.433,-44.13
5.443,-43.01
5.453,-43.87
5.4625,-44.32
5.4715,-43.64
5.481,-43.95
5.4905,-42.77
5.4995,-45.08
5.5085,-43.84
5.518,-44.12
5.528,-44.57
5.538,-45.7
5.548,-43.96
5.5575,-43.6
5.5665,-44.37
5.575,-44.81
5.583,-43.82
5.5915,-44.29
5.6,-43.58
5.6085,-44.91
5.617,-43.98
5.6255,-43.7
5.6345,-44.26
5.6435,-43.58
5.6525,-44.32
5.6615,-45.43
5.6705,-44.06
5.6795,-45.08
5.6885,-44.29
5.6975,-44.11
5.7065,-44
5.715,-44.38
5.7235,-43.73
5.7325,-43.8
5.7415,-42.5
5.7505,-43.01
5.759,-43.96
5.7675,-44.29
5.776,-43.54
5.784,-43.62
5.7925,-42.25
5.801,-43.74
5.809,-44.36
5.8175,-44.18
5.8265,-43.68
