Age [ka BP],d18O recon [per mil] (d18O values corrected for sea...)
46.307,-48.33
46.339,-47.49
46.371,-47.67
46.4035,-47.96
46.4335,-47.8
46.461,-48.47
46.488,-48.24
46.514,-48.46
46.5405,-48.15
46.5675,-48.23
46.5945,-47.67
46.6215,-48.45
46.6485,-47.44
46.6755,-47.16
46.702,-47.81
46.728,-47.78
46.7555,-47.67
46.784,-47.1
46.8125,-47.54
46.8415,-48.03
46.87,-48.01
46.8985,-48.2
46.927,-48.19
46.955,-48.41
46.983,-48.17
47.011,-48.03
47.0395,-47.93
47.0685,-47.71
47.098,-47.91
47.128,-48.1
47.1575,-48
47.1865,-48.25
47.2155,-48.7
47.245,-47.84
47.2755,-48.27
47.306,-47.8
47.338,-48.59
47.3715,-47.97
47.4045,-47.92
47.4375,-47.81
47.4695,-47.42
47.5005,-48.12
47.5305,-47.67
47.5595,-48.45
47.588,-47.39
47.6165,-47.58
47.6445,-48.44
47.6715,-48.01
47.6975,-48.44
47.723,-48.32
47.7485,-48.14
47.774,-48.38
47.8005,-48.18
47.827,-47.64
47.853,-47.88
47.879,-48.41
47.9055,-47.78
47.932,-48.93
47.96,-48.78
47.99,-49.42
48.0195,-49.3
48.049,-49.85
48.0785,-49.75
48.1075,-49.2
48.137,-50.12
48.1665,-50.11
48.195,-49.45
48.223,-49.82
48.251,-49.5
48.279,-49.84
48.307,-49.34
48.335,-50.63
48.3625,-50.28
48.39,-50.08
48.418,-49.71
48.4465,-50.12
48.476,-49.93
48.506,-50.14
48.537,-50.12
48.569,-50.21
48.6015,-49.29
48.635,-49.33
48.667,-49.72
48.6975,-48.42
48.73,-49.87
48.764,-50.78
48.797,-49.26
48.829,-49.22
48.86,-49.51
48.89,-49.4
48.92,-49.77
48.9495,-49.25
48.98,-50.14
49.0115,-49.39
49.0435,-49.72
49.076,-49.14
49.108,-50.72
49.1405,-49.47
49.173,-48.93
49.205,-49.23
49.2375,-48.25
49.2705,-49.44
49.3035,-49.44
49.3365,-48.95
49.369,-50.05
49.4015,-49.78
49.434,-49.41
49.4665,-49.77
49.498,-48.59
49.5285,-49.76
49.5595,-49.11
49.5905,-49.79
49.6215,-49.72
49.6525,-50.06
49.683,-49.98
49.713,-49.78
49.744,-50.04
49.7755,-50.6
49.8065,-49.32
49.8375,-49.65
49.8685,-49.16
49.8995,-48.93
49.931,-49.93
49.963,-49.97
49.995,-49.72
50.027,-49.31
50.0585,-48.88
50.0895,-50.03
50.1205,-49.91
50.1515,-49.38
50.1835,-49.5
50.216,-49.83
50.25,-48.68
50.2855,-48.69
50.3195,-49.92
50.352,-49.4
50.3825,-49.09
50.411,-50.29
50.4375,-47.94
50.463,-49.81
50.488,-49.54
50.512,-49.5
50.5365,-49.2
50.5615,-49.54
50.587,-49.33
50.6135,-48.73
50.64,-49.28
50.666,-49.21
50.6925,-49.05
50.719,-48.72
50.7465,-49.04
50.776,-49.68
50.806,-49.66
50.8365,-48.56
50.8685,-48.84
50.901,-49.04
50.9335,-49.87
50.9665,-49.45
50.9995,-48.41
51.033,-48.56
51.068,-48.8
51.104,-48.8
51.14,-49.33
51.1755,-49.23
51.211,-47.71
51.2465,-49.24
51.281,-48.65
51.3155,-48.79
51.35,-48.01
51.384,-48.71
51.4175,-49.78
51.4505,-49.05
51.483,-49.02
51.5145,-48.6
51.5455,-48.67
51.5765,-49.45
51.608,-49.07
51.6405,-48.89
51.6725,-48.58
51.704,-49.14
51.735,-48.3
51.765,-48.36
51.7945,-48.69
51.8235,-49.12
51.853,-48.33
51.8825,-48.58
51.912,-48.26
51.9415,-48.58
51.9695,-48.63
51.997,-48.44
52.025,-48.99
52.0525,-48.24
52.08,-48.76
52.1075,-47.54
52.136,-48.96
52.166,-49.09
52.1965,-48.41
52.2275,-48.38
52.258,-48.83
52.288,-48.97
52.318,-47.81
52.348,-48.59
52.378,-48.73
52.4075,-49.34
52.4365,-48.42
52.4655,-49.14
52.495,-48.11
52.5245,-48.64
52.5535,-48.6
52.5825,-49.07
52.6115,-48.9
52.64,-49.36
52.6685,-49.46
52.6975,-49.05
52.7265,-48.53
52.755,-48.63
52.783,-48.06
52.811,-48.02
52.84,-48.51
52.87,-48.47
52.9005,-48.86
52.9315,-48.21
52.962,-49.33
52.992,-48.32
53.021,-48.4
53.0485,-49.31
53.076,-48.43
53.1035,-48.58
53.1315,-49.07
53.16,-48.92
53.188,-48.46
53.2155,-47.5
53.243,-48.84
53.271,-48.66
53.299,-47.75
53.327,-48.38
53.3545,-48.13
53.382,-48.49
53.409,-47.91
53.4355,-49.1
53.4625,-47.54
53.4895,-47.42
53.517,-47.39
53.5445,-47.85
53.572,-48.41
53.6,-48.74
53.6285,-48.57
53.6575,-47.79
53.6865,-47.15
53.7155,-49.31
53.744,-48.55
53.772,-48.63
53.7995,-48.53
53.827,-48.45
53.855,-48.86
53.883,-48.28
53.911,-47.94
53.9395,-48.45
53.9685,-48.12
53.998,-47.96
54.0275,-47.76
54.057,-48.4
54.087,-48.87
54.117,-48.76
54.146,-48.76
54.174,-48.31
54.202,-48.94
54.23,-49.15
54.2585,-48.84
54.287,-48.33
54.316,-49.55
54.3465,-47.43
54.3775,-48.81
54.4085,-49.15
54.44,-48.88
54.4715,-48.95
54.5035,-49.58
54.5365,-49.71
54.569,-48.89
54.601,-49.71
54.634,-49.65
54.6675,-50.55
54.7005,-48.85
54.734,-48.47
54.7665,-48.78
54.7975,-48.92
54.828,-48.78
54.858,-49.22
54.888,-48.77
54.9185,-49.42
54.9485,-48.42
54.9775,-48.94
55.007,-49.18
55.0365,-49.01
55.0665,-48.55
55.0975,-48.91
55.128,-48.6
55.158,-48.71
55.188,-49.29
55.2185,-48.74
55.249,-48.83
55.279,-49.25
55.3095,-49.12
55.34,-49.14
55.371,-49.14
55.403,-48.57
55.4345,-49.1
55.465,-49.67
55.4955,-49.27
55.526,-49.02
55.557,-49.25
55.5885,-49.28
55.6205,-49.62
55.653,-48.98
55.6865,-49.77
55.721,-49.53
55.7545,-49.22
55.788,-49.92
55.8215,-49.35
55.8545,-48.73
55.8885,-50.48
55.9235,-49.75
55.958,-49.88
55.992,-48.95
56.026,-49.75
56.0605,-49.48
56.095,-49.44
56.129,-49.58
56.162,-50.19
56.194,-49.64
56.2265,-49.78
56.2595,-49.64
56.2935,-49.52
56.328,-49.07
56.3625,-50.37
56.3965,-48.98
56.4305,-49.79
56.465,-49.2
56.499,-50.05
56.5325,-49.55
56.5655,-49.1
56.5985,-50.43
56.6325,-49.23
56.667,-49.69
56.701,-49.26
56.7345,-50.05
56.767,-50
56.799,-49.2
56.8305,-49.59
56.8615,-48.95
56.892,-49.06
56.9225,-48.93
56.9535,-48.3
56.9845,-49.67
57.0155,-48.65
57.0465,-48.52
57.077,-49.2
57.107,-48.74
57.136,-48.79
57.164,-48.71
57.192,-48.43
57.2205,-48.04
57.249,-47.64
57.277,-48.21
57.306,-49.02
57.336,-48.97
57.367,-48.99
57.399,-49.29
57.43,-48.38
57.4605,-49.19
57.49,-48.52
57.518,-49.54
57.547,-48.39
57.5765,-48.91
57.606,-48.59
57.636,-48.02
57.665,-49.09
57.6935,-48.49
57.724,-48.82
57.756,-48.31
57.7885,-49.88
57.822,-48.82
57.855,-49.56
57.887,-49.17
57.9185,-48.67
57.9495,-48.88
57.981,-48.16
58.0125,-48.91
58.043,-49
58.0725,-49.19
58.103,-48.57
58.1345,-48.45
58.1645,-48.98
58.194,-48.37
58.2235,-48.47
58.252,-47.85
58.2805,-48.24
58.3095,-48.61
58.3375,-48.87
58.365,-48.07
58.3935,-48.75
58.4225,-48.46
58.451,-48.83
58.4795,-49.01
58.5075,-48.06
58.5345,-47.72
58.5605,-48.41
58.5855,-47.64
58.6115,-47.71
58.6375,-48.13
58.6635,-48.05
58.69,-47.71
58.716,-47.68
58.742,-47.38
58.7685,-48.53
58.795,-47.58
58.8215,-47.86
58.8485,-47.88
58.876,-48.37
58.9035,-48.2
58.9305,-48.05
58.9575,-47.67
58.9845,-48.59
59.0115,-48.04
59.038,-48.04
59.0645,-47.25
59.091,-47.23
59.117,-47.81
59.144,-48.36
59.1725,-48.41
59.2,-48.19
59.2255,-47.73
59.2515,-47.99
59.2785,-48.53
59.3065,-47.01
59.3355,-47.99
59.364,-47.91
59.3925,-48.53
59.42,-48.05
59.4465,-47.59
59.4735,-48.39
59.5005,-48.5
59.528,-48.46
59.556,-48.63
59.584,-47.88
59.6115,-48.07
59.6395,-48.07
59.668,-47.81
59.697,-48.73
59.7265,-47.98
59.754,-47.83
59.7805,-48.14
59.807,-48.33
59.8325,-48.21
59.8585,-48.7
59.885,-47.84
59.9115,-48.64
59.9385,-49.16
59.966,-48.78
59.994,-48.58
60.0225,-48.48
60.0515,-47.62
60.081,-48.8
60.1105,-48.78
60.1405,-48.23
60.1715,-49.23
60.202,-48.96
60.232,-49.78
60.2615,-48.77
60.291,-49.07
60.3215,-49.02
60.3525,-48.13
60.383,-48.79
60.413,-48.4
60.443,-48.3
60.4725,-49.15
60.502,-48.1
60.5325,-48.46
60.5615,-48.38
60.589,-48.51
60.617,-49.52
60.6455,-48.63
60.6745,-49.31
60.704,-48.72
60.7345,-48.91
60.7655,-48.91
60.7965,-49.46
60.8275,-48.63
60.858,-48.96
60.888,-49.15
60.918,-49.4
60.948,-49.05
60.979,-49.1
61.011,-49.23
61.043,-49.43
61.0745,-49.85
61.106,-49.06
61.1375,-49.59
61.169,-49.02
61.201,-49.37
61.2335,-49.26
61.2665,-49.26
61.3,-48.24
61.3335,-49.16
61.3675,-48.14
61.402,-49.02
61.4365,-49.16
61.4715,-49.79
61.506,-49.21
61.54,-49.07
61.5745,-48.35
61.6095,-49.29
61.6445,-48.91
61.6795,-49.76
61.7145,-48.89
61.7495,-49.34
61.785,-48.65
61.821,-49.81
61.858,-50.33
61.896,-49.65
61.934,-49.09
61.9725,-49.77
62.0115,-49.7
62.051,-50.13
62.09,-49.73
62.1275,-49.98
62.165,-49.3
62.203,-49.66
62.2415,-49.44
62.2805,-49.84
62.3205,-50.29
62.3615,-49.72
62.401,-49.59
62.4395,-49.97
62.479,-49.97
62.519,-49.07
62.56,-50.12
62.602,-50.73
62.644,-50.17
62.6855,-50.51
62.7265,-50.13
62.7675,-50.37
62.81,-50.5
62.854,-50.53
62.897,-50.44
62.939,-49.76
62.9825,-49.84
63.027,-49.88
63.0715,-50.15
63.1165,-49.95
63.161,-50.61
63.205,-50.36
63.2485,-50.19
63.2915,-51.18
63.3345,-50.74
63.377,-50.01
63.419,-50.63
63.461,-50.14
63.5015,-50.14
63.541,-50.04
63.5785,-50.59
63.6135,-50.29
63.6495,-49.8
63.686,-50.02
63.7215,-50.79
63.757,-50.39
63.7945,-50.07
63.8335,-50.04
63.8715,-50.23
63.909,-50.43
63.9455,-50.12
63.9805,-50.44
64.0165,-49.93
64.054,-50.65
64.093,-49.65
64.133,-49.81
64.173,-50.05
64.213,-50.59
64.2535,-50.47
64.2945,-50.91
64.335,-51.46
64.3755,-51.19
64.4155,-49.73
64.4545,-50.25
64.4945,-51.12
64.535,-51.29
64.575,-50.23
64.6145,-49.41
64.654,-51.06
64.6945,-50.18
64.7345,-50.87
64.7735,-50.98
64.813,-50.68
64.853,-50.19
64.8925,-49.68
64.9315,-50.22
64.9695,-50.56
65.0065,-50.54
65.043,-50.82
65.0785,-50.25
65.1155,-51
65.1545,-50.85
65.193,-50.94
65.2305,-50.58
65.2702,-50.81
65.309,-50.36
65.3479,-50.39
65.3867,-50.48
65.4255,-51.19
65.4643,-51.34
65.5031,-52.28
65.542,-51.29
65.5808,-51.37
65.6196,-50.72
65.6584,-50.09
65.6972,-51.1
65.736,-51.13
65.7749,-51.01
65.8137,-49.77
65.8525,-50.61
65.8913,-51.15
65.9301,-51.02
65.969,-51.04
66.0078,-50.68
66.047,-51.28
66.086,-51.27
66.126,-50.08
66.165,-51.03
66.205,-50.96
66.245,-51.97
66.284,-50.82
66.3225,-51.28
66.361,-50.57
66.399,-50.47
66.437,-51.02
66.475,-50.66
66.512,-50.8
66.548,-50.35
66.5855,-50.93
66.6245,-50.97
66.6625,-50.08
66.6995,-51.09
66.737,-50.23
66.7755,-50.39
66.814,-51.4
66.852,-50.81
66.89,-50.47
66.9275,-50.07
66.966,-50.37
67.0055,-50.79
67.044,-50.5
67.0825,-50.53
67.1215,-50.83
67.1605,-50.61
67.1995,-50.45
67.2385,-51.43
67.277,-50.96
67.315,-51.63
67.353,-50.69
67.3905,-51.23
67.4285,-51
67.467,-50.73
67.504,-51.41
67.54,-51.52
67.576,-51.38
67.6115,-52.1
67.6475,-50.36
67.6845,-49.42
67.722,-49.49
67.7595,-51.21
67.7945,-51.21
67.827,-51.43
67.8605,-50.49
67.8955,-49.85
67.9305,-50.47
67.965,-51.38
67.9995,-50.42
68.0345,-50.5
68.0705,-50.16
68.1075,-51.6
68.145,-50.75
68.183,-51.14
68.221,-50.57
68.259,-51.01
68.2945,-50.83
68.3275,-51.9
68.3605,-50.58
68.394,-49.92
68.4275,-49.19
68.4605,-50.19
68.4935,-50.04
68.5265,-49.96
68.5585,-50.27
68.59,-49.3
68.622,-50.29
68.654,-49.54
68.6865,-50.68
68.7195,-49.89
68.7535,-48.89
68.7885,-50.06
68.8235,-49.61
68.859,-50.52
68.8945,-50.1
68.9295,-51
68.9655,-50.38
69.0025,-50.57
69.039,-51.38
69.075,-48.63
69.1115,-51.44
69.148,-51.09
69.184,-50.82
69.219,-50.6
69.2545,-50.96
69.291,-51.35
69.327,-50.61
69.3625,-51.18
69.396,-51.22
69.4285,-50.43
69.462,-50.23
69.496,-49.74
69.5305,-50.19
69.566,-50.25
69.6005,-49.94
69.634,-50.74
69.6665,-50.34
69.698,-49.93
69.73,-50.06
69.762,-49.25
69.795,-50.1
69.829,-50.04
69.8635,-49.26
69.8985,-49.59
69.933,-50.45
69.9675,-49.23
70.002,-49.97
70.0365,-50.22
70.072,-49.11
70.1075,-50.2
70.1415,-49.16
70.175,-49.23
70.208,-49.31
70.2405,-48.82
70.274,-49.5
70.3075,-49.55
70.34,-48.88
70.3715,-49.16
70.403,-48.75
70.435,-48.75
70.4665,-49.61
70.4975,-49.07
70.5275,-48.55
70.557,-50.05
70.587,-48.07
70.617,-47.64
70.6465,-48.72
70.6755,-48.4
70.7045,-47.96
70.733,-49.05
70.761,-48.65
70.7895,-47.95
70.8185,-47.73
70.8475,-48.76
70.877,-47.77
70.9065,-47.76
70.937,-48.62
70.969,-48.41
71.0005,-48.45
71.031,-47.95
71.0592,-48.17
71.0875,-48.3
71.115,-48.07
71.143,-48.15
71.1705,-47.17
71.197,-47.17
71.223,-48.08
71.249,-48.05
71.275,-47.66
71.301,-47.9
71.328,-47.94
71.3565,-47.15
71.386,-47.49
71.416,-47.4
71.4465,-47.69
71.4775,-47.75
71.5095,-47.96
71.542,-47.72
71.574,-47.42
71.606,-47.51
71.638,-47.46
71.6705,-47.74
71.703,-47.15
71.735,-47.21
71.767,-47.8
71.799,-48.1
71.8305,-47
71.862,-47.58
71.8935,-47.06
71.925,-47.51
71.957,-48.04
71.989,-47.04
72.0215,-47.2
72.0545,-46.92
72.0885,-46.91
72.1235,-48.38
72.158,-47.84
72.192,-47.99
72.2265,-47.58
72.262,-47.62
72.2995,-48.01
72.3385,-48.26
72.38,-49.27
72.4245,-49.7
72.47,-49.27
72.516,-48.27
72.561,-49.05
72.605,-48.65
72.6465,-48.65
72.6855,-48.23
72.7235,-48.92
72.76,-48.34
72.798,-47.85
72.838,-48.55
72.8785,-47.95
72.9195,-49.05
72.961,-48.8
73.003,-48.75
73.045,-48.32
73.0865,-47.83
73.127,-48.37
73.1675,-47.53
73.2085,-47.98
73.25,-47.8
73.2905,-48
73.3295,-48.72
73.369,-47.77
73.4085,-48.34
73.448,-47.43
73.488,-47.71
73.5265,-48.16
73.564,-47.68
73.6015,-47.65
73.639,-48.59
73.6765,-48.52
73.713,-47.63
73.7495,-48.05
73.7865,-47.25
73.823,-47.82
73.8585,-47.16
73.8925,-48.01
73.925,-48.09
73.9575,-48.53
73.9905,-48.59
74.024,-47.94
74.0575,-47.63
74.09,-47.91
74.122,-47.73
74.1545,-47.22
74.1875,-47.4
74.22,-47.14
74.252,-48.11
74.284,-47.12
74.3165,-47.32
74.3485,-46.93
74.379,-47.73
74.409,-46.97
74.439,-47.71
74.468,-48.08
74.496,-47.31
74.5235,-46.68
74.5505,-47.56
74.5775,-47.12
74.605,-47.08
74.6325,-46.93
74.66,-46.98
74.6885,-47.1
74.7175,-47.11
74.7465,-46.63
74.776,-48.02
74.8055,-47.2
74.8345,-46.86
74.8635,-47.63
74.8925,-48.01
74.921,-47.67
74.9495,-47.76
74.978,-47.94
75.0065,-47.42
75.0355,-47.61
75.065,-46.82
75.0945,-46.93
75.1235,-47.19
75.152,-47.96
75.1805,-46.88
75.2095,-47.79
75.2385,-47.92
75.268,-47.64
75.298,-47.28
75.328,-48
75.358,-47.65
75.389,-46.98
75.4205,-47.83
75.4515,-47.8
75.483,-46.66
75.515,-46.74
75.5465,-47.74
75.5785,-47.94
75.611,-47.26
75.644,-47.16
75.678,-47.95
75.712,-47.49
75.746,-48.55
75.7815,-48.33
75.8185,-47.76
75.855,-48.27
75.8915,-48.19
75.9275,-48.4
75.9635,-48.53
75.9985,-48.13
76.034,-47.85
76.069,-48.9
76.103,-47.85
76.1385,-47.68
76.1755,-47.57
76.212,-48.84
76.2485,-48.7
76.285,-47.73
76.3205,-46.87
76.356,-48.2
76.392,-48.48
76.4295,-48.32
76.468,-47.72
76.5055,-48.03
76.5425,-48.37
76.579,-47.81
76.615,-46.81
76.6515,-47.91
76.6885,-47.42
76.7265,-48.38
76.7655,-47.94
76.804,-48.42
76.8425,-47.44
76.881,-47.4
76.9185,-47.79
76.9555,-46.61
76.992,-46.42
77.0285,-47.52
77.065,-47.4
77.1015,-47.4
77.139,-48.6
77.1755,-47.08
77.211,-47.19
77.2475,-48.03
77.284,-46.96
77.32,-46.52
77.3555,-46.75
77.392,-47.33
77.43,-47.86
77.4685,-47.54
77.508,-47.78
77.547,-47.9
77.585,-46.89
77.6245,-47.04
77.665,-46.74
77.705,-47.35
77.7445,-47.63
77.7835,-47.39
77.822,-47.48
77.8605,-47.6
77.899,-47.13
77.9375,-47.47
77.976,-47.49
78.014,-47.02
78.0515,-47.13
78.09,-47.68
78.1295,-47.89
78.168,-47.69
78.206,-46.81
78.2465,-47.35
78.289,-47.56
78.3305,-47.71
78.3715,-47.05
78.4115,-47.12
78.4505,-47.32
78.4905,-46.82
78.5315,-47.88
78.5715,-47.06
78.611,-48.11
78.6505,-46.84
78.6895,-47.51
78.728,-47.4
78.766,-46.47
78.805,-47.1
78.845,-47.31
78.885,-47.33
78.9255,-46.91
78.9665,-46.53
79.008,-47.14
79.05,-46.67
79.0925,-46.86
79.1345,-47.65
79.1755,-46.54
79.217,-46.69
79.2585,-46.96
79.298,-47.46
79.3365,-47.05
79.3755,-46.3
79.4145,-46.75
79.4545,-47.25
79.4955,-46.88
79.537,-46.44
79.579,-46.67
79.6205,-47.35
79.6615,-46.65
79.7015,-46.17
79.7405,-47.08
79.7805,-45.67
79.8215,-46.32
79.8635,-46.61
79.9065,-46.27
79.9495,-45.69
79.9925,-45.98
80.035,-45.96
80.0765,-46.07
80.117,-45.71
80.157,-46.01
80.1985,-45.66
80.2415,-45.79
80.2845,-46.45
80.3275,-46.54
80.3695,-46.04
80.411,-45.52
80.454,-45.3
80.4975,-45.4
80.541,-46.11
80.5845,-45.8
80.627,-45.96
80.6695,-45.24
80.7125,-44.7
80.756,-44.68
80.7995,-45.66
80.843,-45.69
80.8875,-45.53
80.9325,-45.57
80.9785,-45.3
81.025,-45.19
81.071,-45.13
81.117,-44.94
81.164,-45.58
81.212,-45.52
81.2585,-45.46
81.3035,-45.54
81.348,-44.95
81.392,-45.58
81.438,-45.82
81.486,-45.39
81.5345,-45.17
81.583,-44.94
81.631,-45.73
81.679,-45.79
81.7255,-44.92
81.77,-45.36
81.815,-45.97
81.861,-45.98
81.9085,-45.53
81.957,-45.71
82.005,-45.42
82.0535,-45.72
82.1015,-45.43
82.149,-45.17
82.196,-45.68
82.242,-45.41
82.2865,-45.81
82.3295,-45.42
82.373,-45.11
82.417,-46.02
82.4615,-45.7
82.506,-45.82
82.5515,-45.57
82.598,-45.7
82.6415,-45.21
82.683,-44.95
82.726,-45.73
82.77,-45.29
82.814,-45.15
82.858,-46.29
82.902,-45.34
82.9465,-45.14
82.9905,-45.15
83.0335,-45.63
83.0755,-45.18
83.117,-45.81
83.158,-45.09
83.1985,-45.63
83.239,-44.97
83.279,-45.16
83.32,-45.02
83.3615,-45.07
83.404,-45.44
83.448,-44.91
83.491,-45.04
83.533,-45.15
83.5765,-45.39
83.621,-46.13
83.664,-44.73
83.7055,-45.4
83.746,-45.38
83.7865,-44.86
83.8285,-45.22
83.872,-45.05
83.915,-45.77
83.9565,-45.34
83.9975,-45.37
84.0385,-45.16
84.0805,-45.13
84.1235,-45.98
84.1665,-45.95
84.21,-45.6
84.2535,-46.01
84.297,-45.37
84.3405,-45.69
84.383,-45.46
84.425,-45.54
84.4675,-45.92
84.51,-45.44
84.553,-45.88
84.5945,-46.12
84.6345,-45.75
84.676,-46.06
84.7175,-45.85
84.76,-45.55
84.8045,-46.38
84.848,-46.36
84.89,-46.21
84.9335,-45.95
84.978,-46.63
85.022,-46.47
85.0655,-45.68
85.109,-45.94
85.153,-46.52
85.195,-46.39
85.2345,-46.25
85.276,-46.63
85.3195,-47.34
85.363,-46.73
85.4065,-46.49
85.4495,-46.5
85.493,-46.35
85.5365,-45.97
85.58,-46.59
85.6235,-46.39
85.6665,-46.25
85.7095,-47.17
85.7525,-46.94
85.7965,-46.4
85.8415,-46.85
85.886,-46.46
85.93,-46.74
85.9735,-46.87
86.016,-47.12
86.0585,-47.53
86.101,-47.3
86.144,-46.91
86.188,-47.61
86.2325,-46.89
86.277,-47.26
86.3215,-46.77
86.366,-47.05
86.4105,-47.19
86.456,-47.39
86.5025,-47.28
86.5495,-46.88
86.5975,-48.02
86.6465,-47.49
86.6935,-47.37
86.7385,-47.63
86.785,-47.58
86.8325,-47.56
86.8795,-47.02
86.9265,-47.49
86.974,-48.21
87.022,-47.73
87.071,-48.23
87.1215,-49.04
87.1745,-48.56
87.229,-48.5
87.2825,-48.51
87.3355,-48.58
87.386,-48.61
87.4345,-48.64
87.4845,-48.11
87.536,-48.34
87.587,-48.34
87.637,-48.38
87.687,-48.6
87.737,-49.12
87.787,-47.97
87.837,-48.29
87.8875,-48.17
87.938,-47.94
87.9865,-48.1
88.034,-48.3
88.082,-48.94
88.13,-48.01
88.1785,-48.07
88.228,-47.99
88.2775,-47.32
88.327,-47.89
88.376,-48.11
88.424,-47.94
88.473,-48.52
88.5225,-48.46
88.571,-48.34
88.619,-49.03
88.667,-47.9
88.715,-47.74
88.762,-48.13
88.808,-48.38
88.854,-48.14
88.9005,-47.72
88.948,-48.29
88.996,-48.32
89.0445,-47.76
89.0935,-47.54
89.1405,-48.15
89.1855,-48.32
89.231,-47.65
89.2775,-47.31
89.323,-47.84
89.3665,-47.63
89.411,-47.73
89.4565,-47.2
89.5015,-47.7
89.547,-48.17
89.595,-47.8
89.645,-47.44
89.694,-48.05
89.7415,-47.99
89.788,-47.23
89.834,-48.6
89.879,-47.53
89.923,-47.46
89.966,-47.97
90.0075,-48.44
90.0495,-48.02
90.093,-47.48
90.137,-47.98
90.1815,-47.49
90.225,-47.69
90.2675,-48.09
90.311,-47.76
90.355,-47.87
90.4,-47.99
90.4455,-48.61
90.49,-48.77
90.534,-47.56
90.5815,-48.15
90.632,-47.61
90.682,-47.51
90.732,-48.15
90.781,-47.61
90.829,-47.77
90.8755,-47.24
90.921,-48.21
90.967,-47.95
91.013,-47.22
91.059,-48.36
91.1055,-47.61
91.153,-47.28
91.201,-47.77
91.249,-47.64
91.297,-47.98
91.3435,-47.87
91.389,-47.35
91.435,-47.22
91.481,-47.23
91.5255,-47.96
91.5685,-47.02
91.6135,-46.85
91.66,-47.37
91.7065,-47.68
91.7535,-47.27
91.8,-47.4
91.846,-47.05
91.8925,-47.35
91.939,-47.57
91.9855,-48.07
92.032,-47.12
92.0785,-47.85
92.1255,-46.92
92.174,-46.94
92.2235,-47.12
92.2725,-47.32
92.321,-47.18
92.3685,-46.81
92.415,-47.86
92.4625,-46.85
92.512,-46.8
92.561,-47.89
92.6095,-46.71
92.6595,-47.11
92.71,-47.43
92.7605,-46.25
92.8115,-46.18
92.863,-46.11
92.915,-46.73
92.9695,-46.45
93.027,-46.52
93.085,-46.08
93.1435,-45.88
93.2035,-46.41
93.2645,-45.67
93.3245,-45.47
93.3835,-45.78
93.4445,-45.8
93.507,-46.21
93.5695,-44.97
93.633,-45.24
93.6945,-45.66
93.7535,-45.59
93.8125,-45.74
93.8715,-46.3
93.931,-45.84
93.991,-45.54
94.0495,-45.49
94.1065,-45.4
94.163,-45.13
94.219,-45.98
94.2755,-45.13
94.332,-45.59
94.3885,-45.5
94.4455,-45.86
94.5025,-46.13
94.559,-45.41
94.6165,-46.38
94.6755,-46.41
94.7315,-45.45
94.7845,-46.31
94.835,-45.89
94.883,-46.11
94.9325,-46.44
94.9835,-45.61
95.0355,-45.71
95.089,-46.05
95.1435,-45.85
95.1985,-45.92
95.2555,-46.83
95.3145,-46.17
95.3735,-46.59
95.4325,-46.24
95.491,-46.2
95.5495,-46.45
95.608,-46.3
95.666,-45.35
95.724,-46.31
95.782,-46.62
95.8405,-46.59
95.899,-46.01
95.9565,-46.5
96.0135,-45.98
96.0715,-46.6
96.131,-46.33
96.189,-46.52
96.2455,-45.31
96.304,-46.2
96.3645,-46.2
96.425,-46.31
96.4855,-46.28
96.549,-46.72
96.6145,-46.33
96.677,-46.17
96.737,-46.34
96.796,-46.46
96.854,-46.69
96.9115,-46.43
96.969,-46.59
97.0265,-46.21
97.0835,-46.09
97.1395,-46.46
97.1945,-46.11
97.249,-45.93
97.303,-45.97
97.357,-46.39
97.411,-46.73
97.466,-46.57
97.5215,-46.5
97.5775,-46.72
97.6345,-46.35
97.6905,-46.97
97.7455,-46.35
97.8005,-46.48
97.855,-45.91
97.9115,-46.57
97.97,-46.14
98.026,-46.39
98.08,-46.69
98.135,-46.27
98.1905,-46.39
98.2465,-46.81
98.3035,-46.55
98.3605,-47.1
98.418,-46.56
98.475,-46.28
98.5305,-46.96
98.587,-46.31
98.645,-46.53
98.705,-46.34
98.7665,-46.17
98.827,-46.24
98.887,-46.65
98.947,-46.58
99.0065,-46.14
99.065,-45.96
99.123,-46.8
99.1825,-46.29
99.2435,-46.76
99.3025,-46.35
99.36,-47.06
99.4175,-47.17
99.4745,-46.7
99.5305,-46.63
99.586,-46.94
99.641,-46.89
99.6955,-47.28
99.7515,-46.95
99.8085,-47.15
99.867,-47.02
99.927,-46.62
99.9865,-46.88
100.045,-47.39
100.103,-46.72
100.161,-46.99
100.219,-47.24
100.2765,-46.78
100.335,-47.13
100.3945,-46.76
100.4525,-46.81
100.51,-47.46
100.5685,-47.26
100.628,-47.33
100.6875,-47.09
100.7465,-47.02
100.805,-47.2
100.8625,-46.65
100.9225,-46.61
100.9855,-46.71
101.048,-46.68
101.11,-46.61
101.1705,-46.24
101.229,-47
101.286,-47.67
101.3425,-46.73
101.399,-46.33
101.455,-46.44
101.5135,-46.28
101.575,-45.86
101.6375,-46.11
101.7005,-46.09
101.763,-46.52
101.8255,-46.09
101.8885,-46.45
101.9515,-46.74
102.016,-45.28
102.0825,-45.69
102.149,-45.39
102.2155,-46.32
102.285,-46.03
102.3565,-46.3
102.4275,-46.22
102.498,-45.82
102.5685,-45.48
102.6395,-45.84
102.712,-46.28
102.786,-46.16
