AGE (yrs),dD,est. d18O
43385,-471.8,-60.101910828
43464,-465.6,-59.3121019108
43540,-465.9,-59.3503184713
43619,-473.2,-60.2802547771
43702,-472.7,-60.2165605096
43785,-472,-60.127388535
43868,-474.8,-60.4840764331
43952,-474.4,-60.4331210191
44036,-473.5,-60.3184713376
44120,-475.1,-60.5222929936
44206,-476.8,-60.7388535032
44292,-474.8,-60.4840764331
44377,-475,-60.5095541401
44463,-478.3,-60.9299363057
44551,-476,-60.6369426752
44634,-470.1,-59.8853503185
44715,-472.5,-60.1910828025
44800,-477.9,-60.8789808917
44887,-475.5,-60.5732484076
44972,-473.3,-60.2929936306
45055,-473.6,-60.3312101911
45139,-473.4,-60.3057324841
45225,-477.7,-60.8535031847
45315,-482.3,-61.4394904459
45407,-480.8,-61.2484076433
45497,-479.2,-61.0445859873
45587,-481,-61.2738853503
45677,-477.6,-60.8407643312
45762,-472.6,-60.2038216561
45846,-474.9,-60.4968152866
45932,-475.4,-60.5605095541
46018,-475.5,-60.5732484076
46104,-477.7,-60.8535031847
46193,-477.7,-60.8535031847
46281,-478.2,-60.9171974522
46370,-478.5,-60.9554140127
46457,-476.3,-60.6751592357
46543,-474.1,-60.3949044586
46628,-474.8,-60.4840764331
46713,-474.9,-60.4968152866
46797,-472.3,-60.1656050955
46881,-473.7,-60.3439490446
46966,-475,-60.5095541401
47050,-473.5,-60.3184713376
47133,-471.2,-60.025477707
47214,-469,-59.7452229299
47295,-470.5,-59.9363057325
47378,-473.9,-60.3694267516
47462,-472.8,-60.2292993631
47546,-474.2,-60.4076433121
47631,-475.5,-60.5732484076
47716,-471.7,-60.0891719745
47798,-471.2,-60.025477707
47881,-474,-60.3821656051
47966,-474.7,-60.4713375796
48050,-472.3,-60.1656050955
48134,-473.5,-60.3184713376
48218,-472.5,-60.1910828025
48300,-469.7,-59.8343949045
48381,-469.9,-59.8598726115
48461,-468.4,-59.6687898089
48541,-468.6,-59.6942675159
48622,-471.2,-60.025477707
48704,-471.8,-60.101910828
48787,-472.5,-60.1910828025
48870,-472,-60.127388535
48953,-471.1,-60.0127388535
49034,-468.2,-59.6433121019
49113,-468.3,-59.6560509554
49193,-469,-59.7452229299
49272,-466.7,-59.4522292994
49350,-466.7,-59.4522292994
49430,-469,-59.7452229299
49510,-469.5,-59.8089171975
49591,-470.1,-59.8853503185
49672,-468.3,-59.6560509554
49750,-465.4,-59.2866242038
49828,-467.1,-59.5031847134
49907,-467.2,-59.5159235669
49985,-464.7,-59.1974522293
50061,-463.8,-59.0828025478
50138,-466.3,-59.4012738854
50217,-467.8,-59.5923566879
50295,-465.8,-59.3375796178
50374,-466.8,-59.4649681529
50452,-466.8,-59.4649681529
50531,-467.5,-59.5541401274
50610,-467,-59.4904458599
50688,-464.7,-59.1974522293
50766,-467.9,-59.6050955414
50847,-470,-59.872611465
50928,-468.9,-59.7324840764
51009,-468,-59.6178343949
51086,-463,-58.9808917197
51159,-456.1,-58.101910828
51230,-459.5,-58.5350318471
51306,-465.8,-59.3375796178
51384,-467.1,-59.5031847134
51465,-470.8,-59.974522293
51549,-473.1,-60.2675159236
51633,-472.1,-60.1401273885
51715,-466.3,-59.4012738854
51794,-467,-59.4904458599
51874,-469.6,-59.821656051
51955,-466.8,-59.4649681529
52034,-466.8,-59.4649681529
52114,-468.3,-59.6560509554
52195,-468.5,-59.6815286624
52275,-466.7,-59.4522292994
52352,-463.6,-59.0573248408
52430,-467,-59.4904458599
52511,-470.2,-59.898089172
52594,-470.8,-59.974522293
52679,-473.7,-60.3439490446
52763,-470.3,-59.9108280255
52846,-470,-59.872611465
52931,-475,-60.5095541401
53019,-476.5,-60.7006369427
53107,-475.8,-60.6114649682
53193,-471.5,-60.0636942675
53275,-467.2,-59.5159235669
53355,-466.6,-59.4394904459
53436,-469.6,-59.821656051
53520,-473.2,-60.2802547771
53606,-473.2,-60.2802547771
53692,-472.6,-60.2038216561
53775,-469.5,-59.8089171975
53858,-470.6,-59.949044586
53942,-472.2,-60.152866242
54026,-470.1,-59.8853503185
54111,-472.85,-60.2356687898
54198,-475.6,-60.5859872611
54286,-475,-60.5095541401
54372,-471.6,-60.076433121
54457,-472.4,-60.178343949
54544,-474,-60.3821656051
54629,-470.2,-59.898089172
54713,-471.3,-60.0382165605
54797,-470.9,-59.9872611465
54881,-471.3,-60.0382165605
54967,-473.4,-60.3057324841
55052,-471,-60
55136,-470.1,-59.8853503185
55218,-466.6,-59.4394904459
55297,-465.1,-59.2484076433
55377,-467,-59.4904458599
55457,-465.6,-59.3121019108
55536,-464.3,-59.1464968153
55615,-465.6,-59.3121019108
55694,-466.3,-59.4012738854
55775,-467.9,-59.6050955414
55855,-464.4,-59.1592356688
55933,-461.8,-58.8280254777
56009,-463.5,-59.0445859873
56087,-462.7,-58.9426751592
56163,-461.2,-58.7515923567
56239,-462.5,-58.9171974522
56317,-463.6,-59.0573248408
56394,-461.5,-58.7898089172
56471,-463.5,-59.0445859873
56548,-463.5,-59.0445859873
56624,-459,-58.4713375796
56698,-459.4,-58.5222929936
56774,-462.2,-58.8789808917
56850,-459.7,-58.5605095541
56922,-455.1,-57.974522293
56993,-454.9,-57.949044586
57065,-457.9,-58.3312101911
57139,-460.1,-58.6114649682
57215,-461.2,-58.7515923567
57289,-456.9,-58.2038216561
57362,-457.1,-58.2292993631
57436,-461.9,-58.8407643312
57513,-461.9,-58.8407643312
57590,-462,-58.8535031847
57669,-467.5,-59.5541401274
57750,-465.9,-59.3503184713
57828,-460.7,-58.6878980892
57905,-462.7,-58.9426751592
57981,-460.7,-58.6878980892
58057,-460.5,-58.6624203822
58133,-462.2,-58.8789808917
58211,-462.6,-58.9299363057
58286,-458.4,-58.3949044586
58360,-458.1,-58.3566878981
58436,-462.4,-58.9044585987
58514,-464.1,-59.1210191083
58594,-466.8,-59.4649681529
58676,-468,-59.6178343949
58759,-469.2,-59.7707006369
